timestamp,community_kw,pm25,temp,rhum,wspd,pres,hour,dow,is_weekend,lag_1,lag_2,lag_3,lag_4,pred_kw
2013-04-25 12:00:00,545.0337953126456,23.3,20.0,56.0,18.4,1020.0,12,3,0,1525.977314138555,863.8391076235627,925.8674695063112,772.8170054980897,695.0844691217012
2013-04-25 12:15:00,565.1158751902587,23.475,20.25,55.25,20.275,1019.825,12,3,0,545.0337953126456,1525.977314138555,863.8391076235627,925.8674695063112,661.9920761800721
2013-04-25 12:30:00,1677.3155694710772,23.65,20.5,54.5,22.15,1019.65,12,3,0,565.1158751902587,545.0337953126456,1525.977314138555,863.8391076235627,1318.7927341683312
2013-04-25 12:45:00,590.8570408163265,23.825,20.75,53.75,24.025,1019.475,12,3,0,1677.3155694710772,565.1158751902587,545.0337953126456,1525.977314138555,661.8939288669968
2013-04-25 13:00:00,569.2683708880813,24.0,21.0,53.0,25.9,1019.3,13,3,0,590.8570408163265,1677.3155694710772,565.1158751902587,545.0337953126456,699.8232577940784
2013-04-25 13:15:00,1893.6484696408736,22.825,21.0,52.0,25.0,1019.2,13,3,0,569.2683708880813,590.8570408163265,1677.3155694710772,565.1158751902587,1499.4526700076306
2013-04-25 13:30:00,587.3691156462586,21.65,21.0,51.0,24.1,1019.1,13,3,0,1893.6484696408736,569.2683708880813,590.8570408163265,1677.3155694710772,674.9908421686247
2013-06-18 14:00:00,426.291457925636,34.8,20.0,73.0,5.4,1014.25,14,1,0,365.5249755847544,426.9989279657068,458.7546164383562,380.03748443761066,429.5737273329556
2013-06-18 14:15:00,485.6624268008573,35.474999999999994,20.0,73.0,5.4,1014.3375,14,1,0,426.291457925636,365.5249755847544,426.9989279657068,458.7546164383562,517.9751278307507
2013-06-18 14:30:00,413.75763698630135,36.15,20.0,73.0,5.4,1014.425,14,1,0,485.6624268008573,426.291457925636,365.5249755847544,426.9989279657068,480.00583262893457
2013-06-18 14:45:00,395.1109337433603,36.825,20.0,73.0,5.4,1014.5125,14,1,0,413.75763698630135,485.6624268008573,426.291457925636,365.5249755847544,416.8149874461852
2013-06-18 15:00:00,401.44614728357095,37.5,20.0,73.0,5.4,1014.6,15,1,0,395.1109337433603,413.75763698630135,485.6624268008573,426.291457925636,449.66033194692864
2013-06-18 15:15:00,491.7123150684931,34.775,20.25,70.75,6.4,1014.6,15,1,0,401.44614728357095,395.1109337433603,413.75763698630135,485.6624268008573,500.2027324298192
2013-06-18 15:30:00,407.9262799366322,32.05,20.5,68.5,7.4,1014.6,15,1,0,491.7123150684931,401.44614728357095,395.1109337433603,413.75763698630135,461.9294410039112
2013-06-18 15:45:00,371.6472863200075,29.325000000000003,20.75,66.25,8.4,1014.6,15,1,0,407.9262799366322,491.7123150684931,401.44614728357095,395.1109337433603,390.6506475629344
2013-06-18 16:00:00,507.2012471810642,26.6,21.0,64.0,9.4,1014.6,16,1,0,371.6472863200075,407.9262799366322,491.7123150684931,401.44614728357095,481.802699895328
2013-06-18 16:15:00,574.1583553722858,25.225,20.75,64.0,9.4,1014.5,16,1,0,507.2012471810642,371.6472863200075,407.9262799366322,491.7123150684931,599.211508955266
2013-06-18 16:30:00,999.2580079675704,23.85,20.5,64.0,9.4,1014.4,16,1,0,574.1583553722858,507.2012471810642,371.6472863200075,407.9262799366322,929.2849350364322
2013-06-18 16:45:00,2669.531625501597,22.475,20.25,64.0,9.4,1014.3,16,1,0,999.2580079675704,574.1583553722858,507.2012471810642,371.6472863200075,2062.658942150709
